Name,Type,Description,Path
RefId,string,Reference Id to the root object.,worker_compensation_report.RefId
workerRefId,string,Reference Id to the associated worker for the report.,worker_compensation_report.workerRefId
value,string,The identifier.,worker_compensation_report.workerId.value
schemeId,string,The identification of the identifier scheme.,worker_compensation_report.workerId.schemeId
schemeVersionId,string,The identification of the version of the identifier scheme.,worker_compensation_report.workerId.schemeVersionId
schemeAgencyId,string,The identification of the agency that manages the identifier scheme.,worker_compensation_report.workerId.schemeAgencyId
description,string,The description of the identifier.,worker_compensation_report.workerId.description
schemeLink,string,The URI that identifies where the identification scheme data is located.,worker_compensation_report.workerId.schemeLink
agencyUri,string,The URI that identifies where the identification scheme is located.,worker_compensation_report.workerId.agencyUri
validFrom,string,DateTime representation according ISO 8601 standard.,worker_compensation_report.reportingTimePeriod.validFrom
validTo,string,DateTime representation according ISO 8601 standard.,worker_compensation_report.reportingTimePeriod.validTo
value,number,The value of the amount.,worker_compensation_report.salaryAmount.value
currencyCode,,The currency of the amount.,worker_compensation_report.salaryAmount.currencyCode
workedPayTypeCode,string,,worker_compensation_report.regularHourlyWagesAmount.workedPayTypeCode
description,string,A short phrase further describing the pay type.,worker_compensation_report.regularHourlyWagesAmount.description
value,number,The value of the amount.,worker_compensation_report.regularHourlyWagesAmount.workedPayAmount.value
currency,,The currency of the amount.,worker_compensation_report.regularHourlyWagesAmount.workedPayAmount.currency
PayTypeCode,string,,worker_compensation_report.premiumHourlyWagesAmount[].PayTypeCode
description,string,A short phrase further describing the pay type.,worker_compensation_report.premiumHourlyWagesAmount[].description
value,number,The value of the amount.,worker_compensation_report.premiumHourlyWagesAmount[].workedPayAmount.value
currency,,The currency of the amount.,worker_compensation_report.premiumHourlyWagesAmount[].workedPayAmount.currency
timeOffPayType,,"Type of compensation, e.g. bereavement, jury duty, sick, etc.",worker_compensation_report.paidTimeOffAmount[].timeOffPayType
description,string,A short phrase further describing the time off type.,worker_compensation_report.paidTimeOffAmount[].description
value,number,The value of the amount.,worker_compensation_report.paidTimeOffAmount[].timeOffPayAmount.value
currency,,The currency of the amount.,worker_compensation_report.paidTimeOffAmount[].timeOffPayAmount.currency
